1118
 -377.732291 54.907702 -0.000000 12.622117  1 0 0 0 1 0 0 0 1  1
 -361.395025 75.073324 -0.000000 16.028431  1 0 0 0 1 0 0 0 1  1
 -349.149161 53.687672 -0.000000 17.112158  1 0 0 0 1 0 0 0 1  1
 -387.646058 84.817191 -0.000000 12.217467  1 0 0 0 1 0 0 0 1  1
 324.660361 74.036371 0.000000 11.174177  1 0 0 0 1 0 0 0 1  1
 350.810568 77.558159 0.000000 12.966759  1 0 0 0 1 0 0 0 1  1
 338.618320 48.642779 0.000000 13.187783  1 0 0 0 1 0 0 0 1  1
 364.797460 57.999972 0.000000 14.241668  1 0 0 0 1 0 0 0 1  1
 -130.329267 348.516239 -0.000000 15.078583  1 0 0 0 1 0 0 0 1  1
 -110.757395 332.845458 -0.000000 10.855158  1 0 0 0 1 0 0 0 1  1
 -133.823378 321.069673 -0.000000 12.624822  1 0 0 0 1 0 0 0 1  1
 -109.576236 307.988601 -0.000000 18.010146  1 0 0 0 1 0 0 0 1  1
 -327.085982 -70.419739 0.000000 10.292203  1 0 0 0 1 0 0 0 1  1
 -350.503573 -73.471404 0.000000 19.288541  1 0 0 0 1 0 0 0 1  1
 -339.227099 -48.388099 0.000000 17.303309  1 0 0 0 1 0 0 0 1  1
 -370.911340 -61.494518 0.000000 14.886090  1 0 0 0 1 0 0 0 1  1
 11.653964 310.330883 0.000000 15.785251  1 0 0 0 1 0 0 0 1  1
 2.476103 337.571061 0.000000 12.372836  1 0 0 0 1 0 0 0 1  1
 28.239095 329.620095 0.000000 14.588488  1 0 0 0 1 0 0 0 1  1
 16.547564 362.140815 0.000000 19.630885  1 0 0 0 1 0 0 0 1  1
 -159.953707 308.194752 -0.000000 15.468057  1 0 0 0 1 0 0 0 1  1
 -135.371438 290.789988 -0.000000 15.211358  1 0 0 0 1 0 0 0 1  1
 390.914554 251.858081 0.000000 12.315944  1 0 0 0 1 0 0 0 1  1
 371.431660 228.441097 0.000000 14.888977  1 0 0 0 1 0 0 0 1  1
 -414.374546 208.100325 -0.000000 16.240601  1 0 0 0 1 0 0 0 1  1
 -421.497924 172.550066 -0.000000 16.791355  1 0 0 0 1 0 0 0 1  1
 -206.860759 -408.575915 0.000000 13.955152  1 0 0 0 1 0 0 0 1  1
 -173.220894 -423.150729 0.000000 13.674366  1 0 0 0 1 0 0 0 1  1
 408.456899 -206.883920 0.000000 19.879820  1 0 0 0 1 0 0 0 1  1
 422.733295 -173.078679 0.000000 10.377389  1 0 0 0 1 0 0 0 1  1
 -156.952222 338.082999 -0.000000 18.851680  1 0 0 0 1 0 0 0 1  1
 209.074625 413.449240 0.000000 19.132868  1 0 0 0 1 0 0 0 1  1
 -62.210733 314.886858 -0.000000 17.961839  1 0 0 0 1 0 0 0 1  1
 -43.143307 328.118598 -0.000000 10.987123  1 0 0 0 1 0 0 0 1  1
 -36.140968 301.679324 -0.000000 12.618712  1 0 0 0 1 0 0 0 1  1
 -17.413388 324.074802 -0.000000 13.353568  1 0 0 0 1 0 0 0 1  1
 -298.797832 259.186469 -0.000000 16.797280  1 0 0 0 1 0 0 0 1  1
 -314.603920 282.617769 -0.000000 11.365531  1 0 0 0 1 0 0 0 1  1
 -285.065843 283.640164 -0.000000 17.212275  1 0 0 0 1 0 0 0 1  1
 -301.854611 309.506587 -0.000000 11.067619  1 0 0 0 1 0 0 0 1  1
 153.587807 349.144632 0.000000 16.537573  1 0 0 0 1 0 0 0 1  1
 182.307834 346.461346 0.000000 14.941739  1 0 0 0 1 0 0 0 1  1
 -84.027746 297.321831 -0.000000 17.790517  1 0 0 0 1 0 0 0 1  1
 -88.503015 327.434256 -0.000000 17.150371  1 0 0 0 1 0 0 0 1  1
 -134.835577 -345.835061 0.000000 19.037206  1 0 0 0 1 0 0 0 1  1
 -164.993715 -328.474502 0.000000 18.909225  1 0 0 0 1 0 0 0 1  1
 348.284482 -132.787146 0.000000 13.341631  1 0 0 0 1 0 0 0 1  1
 324.664600 -159.936916 0.000000 16.987458  1 0 0 0 1 0 0 0 1  1
 63.154239 -345.662805 0.000000 11.978098  1 0 0 0 1 0 0 0 1  1
 49.258054 -325.098061 0.000000 10.305409  1 0 0 0 1 0 0 0 1  1
 23.055516 -332.726136 0.000000 17.440743  1 0 0 0 1 0 0 0 1  1
 81.636173 -354.363173 0.000000 15.000224  1 0 0 0 1 0 0 0 1  1
 270.584101 -377.789421 0.000000 14.799221  1 0 0 0 1 0 0 0 1  1
 250.448481 -360.994676 0.000000 19.047222  1 0 0 0 1 0 0 0 1  1
 -377.830452 -270.656491 0.000000 16.098666  1 0 0 0 1 0 0 0 1  1
 -361.073752 -250.598435 0.000000 16.176664  1 0 0 0 1 0 0 0 1  1
 60.981220 -296.763440 0.000000 18.594423  1 0 0 0 1 0 0 0 1  1
 -262.728292 -225.474105 0.000000 18.054894  1 0 0 0 1 0 0 0 1  1
 -291.312442 -242.609260 0.000000 15.767215  1 0 0 0 1 0 0 0 1  1
 -316.302461 -228.078431 0.000000 11.829225  1 0 0 0 1 0 0 0 1  1
