eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6
23,23,35.80289213552911,0-72h,0.5061931154806099,16.403008691919847,0.6387995865727366,17.31315743140613,0.7647907137032182,23.305686319109874
24,24,35.78493461045648,0-72h,0.49144962668020375,16.895098952677444,0.6387995865727366,17.31315743140613,0.7647907137032182,23.305686319109874
25,25,35.98013337717244,0-72h,0.49144962668020375,16.403008691919847,0.6579635741699187,17.31315743140613,0.7647907137032182,23.305686319109874
26,26,36.012728242064625,0-72h,0.49144962668020375,16.403008691919847,0.6387995865727366,17.832552154348313,0.7647907137032182,23.305686319109874
27,27,35.79489248967359,0-72h,0.49144962668020375,16.403008691919847,0.6387995865727366,17.31315743140613,0.7877344351143147,23.305686319109874
28,28,35.78890858686373,0-72h,0.49144962668020375,16.403008691919847,0.6387995865727366,17.31315743140613,0.7647907137032182,24.00485690868317
29,29,35.88644337580933,0-72h,0.48831538227365856,16.36451796034625,0.619151724424111,17.16893147961839,0.7630512250565016,23.301504863680197
30,30,35.82539314691929,0-72h,0.49067771114724845,16.393570393757116,0.6338735546710689,17.277305100918632,0.7643638319351861,23.304661411326858
31,31,35.794889335764374,0-72h,0.49125736104460227,16.400660352213627,0.6375672151253604,17.304207075270895,0.7646844803079554,23.305431337419336
32,32,35.766395878953446,0-72h,0.4914016046252626,16.40242230476166,0.6384914399846476,17.310920637214515,0.7647641856064508,23.305622651009426
33,33,35.85591123975623,0-72h,0.4914376239351065,16.402862138672358,0.6387225465715698,17.312598282526903,0.7647840835668537,23.305670406909538
34,34,35.79289429722128,0-72h,0.4914466261669149,16.402972056328284,0.6387803263628693,17.313017647290476,0.7647890562870706,23.305682341361216
35,35,35.82539235850941,0-72h,0.4914488765626923,16.40299953319196,0.6387947715071722,17.313122485571224,0.7647902993565521,23.305685324691545
36,36,35.82539129694686,0-72h,0.4914494391515015,16.4030064022485,0.6387983828055269,17.313148694959526,0.7647906101170123,23.30568607050647
