cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized
MiaPaCa2,"15""",15,0.25,Treat:15s,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,"15""",15,0.25,Treat:15s,24,0.1979,0.29305000000000003,0.22335,0.16325,0.21938749999999999,0.05316291504154268,0.2193875,0.05493935103062893,0.2193875,0.05493935103062893,1.7705480315754962,0.44338332777991113
MiaPaCa2,"15""",15,0.25,Treat:15s,48,0.39544999999999997,0.66865,0.5219,0.30705000000000005,0.4732625,0.14747676754080866,0.47326250000000003,0.15729299822835935,0.47326250000000003,0.15729299822835935,3.819424478575572,1.2694196724691682
MiaPaCa2,"15""",15,0.25,Treat:15s,72,1.3923999999999999,1.6149,1.2986499999999999,0.9045666666666667,1.1699416666666667,0.34030636854119745,1.3026291666666667,0.29667123416427743,1.3026291666666667,0.29667123416427743,10.512757139374376,2.3942597899818105
MiaPaCa2,"30""",30,0.5,Treat:30s,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,"30""",30,0.5,Treat:30s,24,0.16465,0.29555,0.2175,0.17405,0.2129375,0.05548314898623333,0.2129375,0.05969243914991802,0.2129375,0.05969243914991802,1.7184938589190688,0.4817427184175372
MiaPaCa2,"30""",30,0.5,Treat:30s,48,0.31645,0.5868,0.43989999999999996,0.25434999999999997,0.3993749999999999,0.13641547618528188,0.399375,0.146832344869923,0.399375,0.146832344869923,3.223121737156692,1.1849978653344269
MiaPaCa2,"30""",30,0.5,Treat:30s,72,1.13405,1.21675,1.0060499999999999,0.6705166666666665,0.8947333333333335,0.2780130223677664,1.0068416666666666,0.2403876042515042,1.0068416666666666,0.2403876042515042,8.125629450287088,1.9400275746004223
MiaPaCa2,1',60,1.0,Treat:1min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,1',60,1.0,Treat:1min,24,0.1547,0.24385,0.20555,0.16044999999999998,0.19113750000000004,0.03943337735979492,0.19113750000000002,0.04185587125282825,0.19113750000000002,0.04185587125282825,1.54255882575471,0.33779422463254494
MiaPaCa2,1',60,1.0,Treat:1min,48,0.27735,0.42745,0.3439,0.2059,0.31365000000000004,0.0913715491824452,0.31365,0.09450441788614963,0.31365,0.09450441788614963,2.531285465688129,0.7626898116962468
MiaPaCa2,1',60,1.0,Treat:1min,72,0.81985,0.8963,0.7565999999999999,0.4666166666666667,0.6454333333333333,0.20822203329982886,0.7348416666666666,0.18771723933737264,0.7348416666666666,0.18771723933737264,5.9304767429152685,1.514955904969843
MiaPaCa2,2',120,2.0,Treat:2min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,2',120,2.0,Treat:2min,24,0.1451,0.2679,0.18245,0.1404,0.18396250000000003,0.055351782459362224,0.1839625,0.059036081834191324,0.1839625,0.059036081834191324,1.4846536026834127,0.47644564290790203
MiaPaCa2,2',120,2.0,Treat:2min,48,0.20350000000000001,0.39075000000000004,0.2804,0.1703,0.2612375,0.09087416633533903,0.2612375,0.0978841779434586,0.2612375,0.0978841779434586,2.1082948727648736,0.7899658758141472
MiaPaCa2,2',120,2.0,Treat:2min,72,0.6447499999999999,0.73885,0.6009500000000001,0.35075000000000006,0.5061333333333333,0.17370350566061646,0.583825,0.16569231273659013,0.583825,0.16569231273659013,4.711709666843207,1.3372056209353822
MiaPaCa2,3',180,3.0,Treat:3min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,3',180,3.0,Treat:3min,24,0.1188,0.1822,0.16870000000000002,0.1189,0.14715,0.03319948364486588,0.14715,0.03313955340676757,0.14715,0.03313955340676757,1.1875614738594236,0.2674499278748486
MiaPaCa2,3',180,3.0,Treat:3min,48,0.19269999999999998,0.3976,0.23704999999999998,0.1136,0.23523750000000002,0.11655414361084354,0.2352375,0.11968011095555241,0.2352375,0.11968011095555241,1.8984640992660966,0.9658680867008844
MiaPaCa2,3',180,3.0,Treat:3min,72,0.5982000000000001,0.6288,0.48725,0.2989,0.43515833333333337,0.16089331563228945,0.5032875,0.14921262443796998,0.5032875,0.14921262443796998,4.061738669894832,1.2042077077539126
MiaPaCa2,4',240,4.0,Treat:4min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,4',240,4.0,Treat:4min,24,0.10445,0.15425,0.1518,0.108,0.129625,0.02651504963493112,0.129625,0.027077312151196492,0.129625,0.027077312151196492,1.0461274621068823,0.2185251289597457
MiaPaCa2,4',240,4.0,Treat:4min,48,0.14865,0.28335,0.16854999999999998,0.07995,0.170125,0.08309577520634161,0.170125,0.08448883062275155,0.170125,0.08448883062275155,1.3729792439030541,0.6818598723684268
MiaPaCa2,4',240,4.0,Treat:4min,72,0.3892,0.404,0.2853,0.1975,0.2785,0.11860316567904455,0.319,0.09669708716743575,0.319,0.09669708716743575,2.574462182542685,0.7803855613623727
MiaPaCa2,5',300,5.0,Treat:5min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,5',300,5.0,Treat:5min,24,0.08954999999999999,0.1343,0.09004999999999999,0.0952,0.102275,0.021502342065126585,0.102275,0.02150218981096267,0.102275,0.02150218981096267,0.8254016292149,0.17353158153660828
MiaPaCa2,5',300,5.0,Treat:5min,48,0.0864,0.14335,0.0827,0.0682,0.09516250000000001,0.034544875059220326,0.0951625,0.03307117009823914,0.0951625,0.03307117009823914,0.7680008070414365,0.2668980462393515
MiaPaCa2,5',300,5.0,Treat:5min,72,0.10139999999999999,0.14905000000000002,0.07485,0.147725,0.12415000000000001,0.05593143123503992,0.11825625000000001,0.0364458409549933,0.11825625000000001,0.0364458409549933,0.9543769387909511,0.2941330383999863
PANC1,"0""",0,0.0,Control,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,"0""",0,0.0,Control,24,0.25732499999999997,0.432475,0.389,0.3206375,0.3440149999999999,0.09414675148824592,0.349859375,0.07697155005733722,0.349859375,0.07697155005733722,1.8802693896745153,0.41367263475106497
PANC1,"0""",0,0.0,Control,48,0.6478999999999999,0.911125,0.7149,0.5806375,0.68704,0.18086132343812336,0.713640625,0.142610571639094,0.713640625,0.142610571639094,3.8353599140102785,0.7664402090038976
PANC1,"0""",0,0.0,Control,72,1.772025,1.675325,1.9516833333333332,1.4024416666666668,1.7165444444444444,0.6583330851671063,1.70036875,0.2292606772196508,1.70036875,0.2292606772196508,9.138389708105203,1.2321288621525688
PANC1,"15""",15,0.25,Treat:15s,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,"15""",15,0.25,Treat:15s,24,0.2324,0.37495,0.40369999999999995,0.25865000000000005,0.30567000000000005,0.10394130875963907,0.317425,0.08453057139283986,0.317425,0.08453057139283986,1.7059554600114206,0.45429751848625766
PANC1,"15""",15,0.25,Treat:15s,48,0.56455,0.79005,0.69635,0.40675,0.5728899999999999,0.19945251425952135,0.614425,0.16650552293142312,0.614425,0.16650552293142312,3.3021396661180344,0.8948602219954889
PANC1,"15""",15,0.25,Treat:15s,72,1.462,1.22925,1.4301,1.0849125000000002,1.2087142857142859,0.3663989751773184,1.301565625,0.17741514443970804,1.301565625,0.17741514443970804,6.995079103825871,0.9534924292215003
PANC1,"30""",30,0.5,Treat:30s,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,"30""",30,0.5,Treat:30s,24,0.2207,0.39815,0.377,0.27015,0.30723,0.10524407663458633,0.3165,0.08495672427771683,0.3165,0.08495672427771683,1.700984179234826,0.4565878164802893
PANC1,"30""",30,0.5,Treat:30s,48,0.5186,0.68765,0.62295,0.3669,0.5126,0.17779790649936134,0.549025,0.13997260743921766,0.549025,0.13997260743921766,2.9506566793188,0.752262846067476
PANC1,"30""",30,0.5,Treat:30s,72,1.26755,1.0409000000000002,1.1700499999999998,0.9117875,1.0179499999999997,0.317887018512021,1.0975718749999999,0.1547828338804484,1.0975718749999999,0.1547828338804484,5.89874374391186,0.8318582990451023
PANC1,1',60,1.0,Treat:1min,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,1',60,1.0,Treat:1min,24,0.2156,0.3264,0.35585,0.2283,0.27089,0.08216682826218046,0.2815375,0.0700404094672021,0.2815375,0.0700404094672021,1.513083201773538,0.3764222066693203
PANC1,1',60,1.0,Treat:1min,48,0.42805,0.5912999999999999,0.5086999999999999,0.305375,0.42776,0.13959361812856014,0.45835624999999997,0.12183358249233525,0.45835624999999997,0.12183358249233525,2.463370394007591,0.6547772395543865
PANC1,1',60,1.0,Treat:1min,72,1.0024000000000002,0.8663000000000001,0.97695,0.7408375,0.8298571428571428,0.2546201475933112,0.8966218750000001,0.11948473681072898,0.8966218750000001,0.11948473681072898,4.8187665849316454,0.6421537029228658
PANC1,2',120,2.0,Treat:2min,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,2',120,2.0,Treat:2min,24,0.18614999999999998,0.3235,0.33204999999999996,0.225875,0.25869,0.08174025867887184,0.26689375,0.07223040788280699,0.26689375,0.07223040788280699,1.4343824527224478,0.3881920412901521
PANC1,2',120,2.0,Treat:2min,48,0.3419,0.5631999999999999,0.44825000000000004,0.26192499999999996,0.37544,0.1343188594353003,0.40381875,0.13082340096321962,0.40381875,0.13082340096321962,2.1702663665983675,0.7030917387429089
PANC1,2',120,2.0,Treat:2min,72,0.7999499999999999,0.70305,0.8068500000000001,0.5911249999999999,0.6677642857142857,0.19426565319425107,0.72524375,0.10119454113859112,0.72524375,0.10119454113859112,3.897719256995062,0.5438556508741588
PANC1,3',180,3.0,Treat:3min,0,0.11914999999999999,0.11610000000000001,0.232475,0.27655,0.20888333333333334,0.08358127867487751,0.18606875,0.08106405228531736,0.18606875,0.08106405228531736,1.0,0.4356672051879607
PANC1,3',180,3.0,Treat:3min,24,0.17215000000000003,0.2898,0.29869999999999997,0.19619999999999999,0.23061000000000004,0.07280101418707471,0.2392125,0.06440836352265647,0.2392125,0.06440836352265647,1.2856135165093547,0.34615357776443634
PANC1,3',180,3.0,Treat:3min,48,0.30365,0.5062,0.4012,0.2411,0.33865,0.12347661272034025,0.3630375,0.11597055211704967,0.3630375,0.11597055211704967,1.9510933458735011,0.6232672177195239
