eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
79,228,17.916022507649977,optuna,0.5177217940829753,15.516038632191263,0.33922355959886946,12.973085492981568,20.10111540547704,10.27643499106236,2.3035097791477703,3.6057350134497286,10.565733297261204,0.00034792221164164916,1.7644388185772426,5.559512709562419e-05,195.02027472379652
79,229,18.52218597773963,optuna,0.5177217940829753,15.516038632191263,0.33922355959886946,12.973085492981568,20.10111540547704,10.27643499106236,2.3035097791477703,3.6057350134497286,10.565733297261204,0.00034792221164164916,1.7644388185772426,5.559512709562419e-05,195.02027472379652
80,230,3.8116950164174557,optuna,0.8353613664318353,7.735568905949731,0.4097335519232743,11.16276481023922,15.349170932105059,12.733541055916879,1.6956049294833186,1.2542101208642034,6.328204485514801,0.00020467770382001088,2.0268601799664308,0.034616900074750705,95.63739251984933
80,231,4.0891638723050585,optuna,0.8353613664318353,7.735568905949731,0.4097335519232743,11.16276481023922,15.349170932105059,12.733541055916879,1.6956049294833186,1.2542101208642034,6.328204485514801,0.00020467770382001088,2.0268601799664308,0.034616900074750705,95.63739251984933
80,232,3.9300518041738517,optuna,0.8353613664318353,7.735568905949731,0.4097335519232743,11.16276481023922,15.349170932105059,12.733541055916879,1.6956049294833186,1.2542101208642034,6.328204485514801,0.00020467770382001088,2.0268601799664308,0.034616900074750705,95.63739251984933
81,233,5.864344459571813,optuna,0.8999561966615162,10.632329062435202,0.3171135860102934,11.611974096537866,15.69409279585763,8.639187767846801,6.8605880757257385,1.2050959767080993,8.341910787415513,0.00018250288441483013,1.9155851711682255,0.007232145879371259,235.7193187040946
81,234,5.626268988514536,optuna,0.8999561966615162,10.632329062435202,0.3171135860102934,11.611974096537866,15.69409279585763,8.639187767846801,6.8605880757257385,1.2050959767080993,8.341910787415513,0.00018250288441483013,1.9155851711682255,0.007232145879371259,235.7193187040946
81,235,5.663155419002585,optuna,0.8999561966615162,10.632329062435202,0.3171135860102934,11.611974096537866,15.69409279585763,8.639187767846801,6.8605880757257385,1.2050959767080993,8.341910787415513,0.00018250288441483013,1.9155851711682255,0.007232145879371259,235.7193187040946
82,236,8.65760596880654,optuna,0.6916092857602856,18.573218801547746,0.2281095694519129,10.76828643142561,16.655047714755966,5.449164499113263,4.3107778779435275,1.7770143131297016,3.687770476129012,0.0001667348975775405,2.0938677795689773,0.04439719383020856,206.166869497756
82,237,8.305514699776813,optuna,0.6916092857602856,18.573218801547746,0.2281095694519129,10.76828643142561,16.655047714755966,5.449164499113263,4.3107778779435275,1.7770143131297016,3.687770476129012,0.0001667348975775405,2.0938677795689773,0.04439719383020856,206.166869497756
