number,state,value,datetime_start,datetime_complete,normoxic_CC/can_grow/probability,normoxic_CC/can_grow/diameter_rate,normoxic_CC/can_divide/probability,normoxic_CC/can_divide/diameter_cutoff,normoxic_CC/diameter/max,normoxic_CC/phase_dwell/G1,normoxic_CC/phase_dwell/Sy,normoxic_CC/phase_dwell/G2,normoxic_CC/can_divide/time_window,normoxic_CC/can_divide/probability_increment_with_age,normoxic_CC/can_divide/influence_ratio,normoxic_CC/can_apoptose/probability,normoxic_CC/can_apoptose/time_window,attr_penalty,attr_score_curve
58,TrialState.COMPLETE,218.4452046717563,2026-06-10 15:33:28.718689,2026-06-10 15:34:14.358767,0.7286624469818047,0.12622009297477021,0.8891946598101742,11.02672774066352,17.618017753672518,18.384166063538633,2.23328267698899,10.341942654418892,25.612752033742048,1.865507411033331e-05,2.1629867968098706,0.014947088318979776,1263.4769457563343,183.21665699122593,35.228547680530355
59,TrialState.COMPLETE,135.5810002839416,2026-06-10 15:34:14.366459,2026-06-10 15:35:15.587693,0.800291980684066,0.6438566867524251,0.5068603474727392,11.999463267164508,18.274619552354086,9.535484283892888,6.436209373821741,10.06234773274243,5.624837424958688,0.00010314512087401161,3.698336575185986,0.022935780773241175,480.74291540751574,111.23183036432215,24.349169919619452
60,TrialState.PRUNED,72.01211947443437,2026-06-10 15:35:15.595167,2026-06-10 15:35:39.105860,0.8611145343944072,0.12009429357236247,0.7966816640533835,14.188672834434213,15.175297146467686,16.185903185218745,4.16644291006377,10.375890610408078,7.0860861250691904,0.0002802826948041181,1.7507247821936853,0.027618283291583026,552.2100060903723,,
61,TrialState.PRUNED,40.997306054125865,2026-06-10 15:35:39.114092,2026-06-10 15:36:10.556226,0.5433827278199668,0.3257698393415051,0.7066268692362286,14.26866169896867,20.230669271984265,18.85668526751764,5.871244103058467,4.105888728141238,23.197979994121347,4.235804854051523e-05,1.5414176219417877,0.0016327164913529733,214.53424268035766,,
62,TrialState.PRUNED,57.981116690241656,2026-06-10 15:36:10.564105,2026-06-10 15:36:37.193334,0.686806373595649,0.2401735747518023,0.9392146405068482,12.655316524970535,19.228583149781173,17.51243342234625,13.036512576842307,7.741039241522463,8.708109093669522,0.00012854085290465395,3.6365647340856295,0.0026387776085572134,190.5603019287155,,
63,TrialState.COMPLETE,127.26259276959883,2026-06-10 15:36:37.202338,2026-06-10 15:37:32.393670,0.4542065063113725,0.6287535269286486,0.8413590618602919,12.824744350711153,15.456278867846107,16.56914410902257,4.548623855375313,6.616640295028939,14.215901834662718,0.00015493559454349604,2.2123235497685876,0.023583101205014483,170.41365676412303,103.88016874611645,23.382424023482372
64,TrialState.PRUNED,57.981116690241656,2026-06-10 15:37:32.401624,2026-06-10 15:37:58.308331,0.6237653348765022,2.659895863048969,0.7942728149792395,15.079956158470674,17.707664042891928,23.554094883376465,6.632281347079071,9.74021074588112,18.783695305207342,0.0001531002667898062,3.9669984833701752,0.01929817334444179,664.539553749514,,
65,TrialState.COMPLETE,48.97063288362111,2026-06-10 15:37:58.316853,2026-06-10 15:39:00.977984,0.18081552556812075,2.890442235323926,0.9008722464732101,11.245820518259375,15.784265803820098,9.266442765524188,6.6825863198678,7.379603260859611,12.5875757287655,0.00010176408509947465,2.008726983820948,0.0346288801283768,157.40270226907955,39.824962809677125,9.145670073943986
66,TrialState.COMPLETE,196.88846416991288,2026-06-10 15:39:00.989346,2026-06-10 15:39:51.117990,0.10268724539052444,1.8219494203718103,0.6912150406737166,13.264863374911831,15.604567101348483,6.635568881692177,6.234164788542182,11.659108486571753,17.83060168328454,7.211474732704832e-05,1.363086001587166,0.01656546117509184,73.1371914223294,164.20214542094868,32.686318748964204
67,TrialState.COMPLETE,194.08709414030636,2026-06-10 15:39:51.125598,2026-06-10 15:40:49.356393,0.32380635890595005,1.4842511116017747,0.9083431630823741,13.055957181864596,16.669005848991926,6.330575332494169,9.184711442569952,6.1509208019453085,7.878025829805671,0.00016914340247658975,0.5877804369279667,0.029056891815959343,242.5111375746999,167.7084658451441,26.378628295162247
68,TrialState.COMPLETE,150.13932881425632,2026-06-10 15:40:49.364138,2026-06-10 15:41:45.773183,0.654797933338,0.37612050965698507,0.6674593291561436,15.952077427824994,16.519850080270775,10.20828518450892,2.689518672854698,5.589116286440019,15.771279447898056,0.00010089234587356351,2.357556281616918,0.01161739409256211,157.37018981919772,127.50842942937379,22.630899384882525
69,TrialState.COMPLETE,28.954993548655622,2026-06-10 15:41:45.781023,2026-06-10 15:43:05.324490,0.4011157504763313,4.50607915654756,0.6542313867146101,10.74067532546485,15.33604680486728,15.650551561360821,1.5457341350233533,3.4104112511212064,7.07658330945181,0.00022285271517342325,2.2091689698520196,0.01026776411941841,126.87234491675581,23.132170819049797,5.822822729605823
70,TrialState.COMPLETE,113.54501713145714,2026-06-10 15:43:05.336069,2026-06-10 15:44:05.633116,0.35906194952739856,9.668177666433309,0.8644733622975396,10.660795636466856,17.24193633606829,14.968879510261758,2.7765561217559585,3.5523456029644787,14.440456228259979,0.0002518696286481225,1.1778377496607144,0.0038715058610827397,118.59655954707362,97.02536600053867,16.519651130918476
