number,state,value,params,error
126,TrialState.PRUNED,126.37664747573555,"{'normoxic_CC/can_grow/probability': 0.8927925938171883, 'normoxic_CC/can_grow/diameter_rate': 11.24094670918808, 'normoxic_CC/can_divide/probability': 0.813941093457898, 'normoxic_CC/can_divide/diameter_cutoff': 20.617290195796887, 'normoxic_CC/can_divide/O2/threshold': 0.9969324702507285, 'normoxic_CC/diameter/max': 20.99665629056958}",
128,TrialState.PRUNED,2.1975424155753855,"{'normoxic_CC/can_grow/probability': 0.5389400517674705, 'normoxic_CC/can_grow/diameter_rate': 0.17528284632489866, 'normoxic_CC/can_divide/probability': 0.90172808380104, 'normoxic_CC/can_divide/diameter_cutoff': 10.78826357248457, 'normoxic_CC/can_divide/O2/threshold': 0.8752937609514261, 'normoxic_CC/diameter/max': 25.526812601123517}",
131,TrialState.PRUNED,0.9038631248478974,"{'normoxic_CC/can_grow/probability': 0.6034369927336382, 'normoxic_CC/can_grow/diameter_rate': 4.95598731859881, 'normoxic_CC/can_divide/probability': 0.5735054208280813, 'normoxic_CC/can_divide/diameter_cutoff': 15.093519649341207, 'normoxic_CC/can_divide/O2/threshold': 0.9133095765586571, 'normoxic_CC/diameter/max': 26.36955024380874}",
132,TrialState.PRUNED,0.4913643849014611,"{'normoxic_CC/can_grow/probability': 0.7873050776599608, 'normoxic_CC/can_grow/diameter_rate': 3.6918529911712894, 'normoxic_CC/can_divide/probability': 0.9087535706498068, 'normoxic_CC/can_divide/diameter_cutoff': 15.241403947635977, 'normoxic_CC/can_divide/O2/threshold': 0.8790193062998615, 'normoxic_CC/diameter/max': 24.57986232065489}",
134,TrialState.PRUNED,0.4709512136102495,"{'normoxic_CC/can_grow/probability': 0.4695017416306135, 'normoxic_CC/can_grow/diameter_rate': 2.4718455173158707, 'normoxic_CC/can_divide/probability': 0.6786079835981339, 'normoxic_CC/can_divide/diameter_cutoff': 15.79799114208197, 'normoxic_CC/can_divide/O2/threshold': 0.5132703073699072, 'normoxic_CC/diameter/max': 29.938180985529335}",
136,TrialState.PRUNED,0.4652611074768488,"{'normoxic_CC/can_grow/probability': 0.6624436500954468, 'normoxic_CC/can_grow/diameter_rate': 3.4519663242957974, 'normoxic_CC/can_divide/probability': 0.78849452238985, 'normoxic_CC/can_divide/diameter_cutoff': 15.383798049944687, 'normoxic_CC/can_divide/O2/threshold': 0.6207623210857275, 'normoxic_CC/diameter/max': 23.347631797614223}",
137,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.8043867557062023, 'normoxic_CC/can_grow/diameter_rate': 8.16904372859814, 'normoxic_CC/can_divide/probability': 0.46835386661274087, 'normoxic_CC/can_divide/diameter_cutoff': 11.63155381514699, 'normoxic_CC/can_divide/O2/threshold': 0.6911854986066954, 'normoxic_CC/diameter/max': 17.73860601447614}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00329/run.log
139,TrialState.PRUNED,0.4638587062861135,"{'normoxic_CC/can_grow/probability': 0.6265677008655978, 'normoxic_CC/can_grow/diameter_rate': 16.774049225921523, 'normoxic_CC/can_divide/probability': 0.6626042399913067, 'normoxic_CC/can_divide/diameter_cutoff': 13.97368761598596, 'normoxic_CC/can_divide/O2/threshold': 0.7477042415784608, 'normoxic_CC/diameter/max': 21.530433850217644}",
140,TrialState.PRUNED,0.4628179360539354,"{'normoxic_CC/can_grow/probability': 0.7315223200628448, 'normoxic_CC/can_grow/diameter_rate': 6.234058060555609, 'normoxic_CC/can_divide/probability': 0.65343126207542, 'normoxic_CC/can_divide/diameter_cutoff': 15.780011917266492, 'normoxic_CC/can_divide/O2/threshold': 0.8223138333894051, 'normoxic_CC/diameter/max': 27.164970339172335}",
145,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.306547189712214, 'normoxic_CC/can_grow/diameter_rate': 0.10399553734532342, 'normoxic_CC/can_divide/probability': 0.9544712515145015, 'normoxic_CC/can_divide/diameter_cutoff': 19.551409672499403, 'normoxic_CC/can_divide/O2/threshold': 0.7774497885850149, 'normoxic_CC/diameter/max': 19.826855119504458}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00349/run.log
146,TrialState.PRUNED,0.4922228347639544,"{'normoxic_CC/can_grow/probability': 0.706711391866204, 'normoxic_CC/can_grow/diameter_rate': 5.3409423239251135, 'normoxic_CC/can_divide/probability': 0.5042619029062069, 'normoxic_CC/can_divide/diameter_cutoff': 15.607440375308308, 'normoxic_CC/can_divide/O2/threshold': 0.49473310201550036, 'normoxic_CC/diameter/max': 25.603315358902254}",
149,TrialState.PRUNED,44.50820244974402,"{'normoxic_CC/can_grow/probability': 0.014483678919496201, 'normoxic_CC/can_grow/diameter_rate': 0.21025890839478467, 'normoxic_CC/can_divide/probability': 0.14296525418910322, 'normoxic_CC/can_divide/diameter_cutoff': 12.946343373324929, 'normoxic_CC/can_divide/O2/threshold': 0.011863020346580322, 'normoxic_CC/diameter/max': 22.56774144799192}",
150,TrialState.PRUNED,0.9427989361935079,"{'normoxic_CC/can_grow/probability': 0.3022844666753846, 'normoxic_CC/can_grow/diameter_rate': 1.7750254455958066, 'normoxic_CC/can_divide/probability': 0.5209716962190134, 'normoxic_CC/can_divide/diameter_cutoff': 15.70620968267276, 'normoxic_CC/can_divide/O2/threshold': 0.5266860510091669, 'normoxic_CC/diameter/max': 20.48469982442921}",
151,TrialState.PRUNED,0.46237179065486456,"{'normoxic_CC/can_grow/probability': 0.8725650730436907, 'normoxic_CC/can_grow/diameter_rate': 10.589742953269836, 'normoxic_CC/can_divide/probability': 0.7400391482351134, 'normoxic_CC/can_divide/diameter_cutoff': 14.66000131722278, 'normoxic_CC/can_divide/O2/threshold': 0.5413013782793743, 'normoxic_CC/diameter/max': 26.5899781543438}",
152,TrialState.PRUNED,4.071853907051212,"{'normoxic_CC/can_grow/probability': 0.8761979001497788, 'normoxic_CC/can_grow/diameter_rate': 0.4905191676272608, 'normoxic_CC/can_divide/probability': 0.21287814939835586, 'normoxic_CC/can_divide/diameter_cutoff': 15.742411935780034, 'normoxic_CC/can_divide/O2/threshold': 0.22830536852750183, 'normoxic_CC/diameter/max': 25.265723915631423}",
155,TrialState.PRUNED,113.88692135437634,"{'normoxic_CC/can_grow/probability': 0.6674117468293304, 'normoxic_CC/can_grow/diameter_rate': 0.11258349476826035, 'normoxic_CC/can_divide/probability': 0.5469842263907746, 'normoxic_CC/can_divide/diameter_cutoff': 19.80385788111841, 'normoxic_CC/can_divide/O2/threshold': 0.10287755665220727, 'normoxic_CC/diameter/max': 25.433994964559034}",
